distractor_hash	scenario_id	permutation	evidence_lines_stripped
014335d0db9f	AQ-01	1	4
014335d0db9f	AQ-01	2	8
014335d0db9f	AQ-01	3	4
014335d0db9f	AQ-01	4	4
014335d0db9f	AQ-01	5	4
033660cca62f	DV-02	1	4
033660cca62f	DV-02	2	4
033660cca62f	DV-02	3	4
033660cca62f	DV-02	4	4
033660cca62f	DV-02	5	4
12a64e3fb0f6	HF-05	1	4
12a64e3fb0f6	HF-05	2	4
12a64e3fb0f6	HF-05	3	4
12a64e3fb0f6	HF-05	4	4
12a64e3fb0f6	HF-05	5	4
12b8eff3a2de	GP-05	1	4
12b8eff3a2de	GP-05	2	8
12b8eff3a2de	GP-05	3	8
12b8eff3a2de	GP-05	4	4
12b8eff3a2de	GP-05	5	4
157859496ad6	EA-05	1	4
157859496ad6	EA-05	2	6
157859496ad6	EA-05	3	6
157859496ad6	EA-05	4	4
157859496ad6	EA-05	5	4
1745eca4fc94	EL-02	1	5
1745eca4fc94	EL-02	2	3
1745eca4fc94	EL-02	3	4
1745eca4fc94	EL-02	4	4
1745eca4fc94	EL-02	5	8
1ae886f8ec60	DI-02	1	4
1ae886f8ec60	DI-02	2	4
1ae886f8ec60	DI-02	3	4
1ae886f8ec60	DI-02	4	4
1ae886f8ec60	DI-02	5	4
1e1921c3db3d	TD-02	1	4
1e1921c3db3d	TD-02	2	4
1e1921c3db3d	TD-02	3	4
1e1921c3db3d	TD-02	4	3
1e1921c3db3d	TD-02	5	4
1e282b9b820e	CD-03	1	4
1e282b9b820e	CD-03	2	4
1e282b9b820e	CD-03	3	6
1e282b9b820e	CD-03	4	4
1e282b9b820e	CD-03	5	4
1e3b23af8569	TS-03	1	4
1e3b23af8569	TS-03	2	6
1e3b23af8569	TS-03	3	4
1e3b23af8569	TS-03	4	4
1e3b23af8569	TS-03	5	4
1f70bcb5d3d1	EA-03	1	6
1f70bcb5d3d1	EA-03	2	6
1f70bcb5d3d1	EA-03	3	4
1f70bcb5d3d1	EA-03	4	8
1f70bcb5d3d1	EA-03	5	4
22dcb145f9e7	FP-02	1	4
22dcb145f9e7	FP-02	2	4
22dcb145f9e7	FP-02	3	4
22dcb145f9e7	FP-02	4	4
22dcb145f9e7	FP-02	5	4
2d03879aeb75	PB-02	1	4
2d03879aeb75	PB-02	2	3
2d03879aeb75	PB-02	3	4
2d03879aeb75	PB-02	4	4
2d03879aeb75	PB-02	5	3
333e72b77a7e	SE-02	1	4
333e72b77a7e	SE-02	2	6
333e72b77a7e	SE-02	3	6
333e72b77a7e	SE-02	4	4
333e72b77a7e	SE-02	5	4
385f41abe989	AR-01	1	3
385f41abe989	AR-01	2	8
385f41abe989	AR-01	3	6
385f41abe989	AR-01	4	4
385f41abe989	AR-01	5	4
397d6a9e2f9c	EA-06	1	8
397d6a9e2f9c	EA-06	2	6
397d6a9e2f9c	EA-06	3	4
397d6a9e2f9c	EA-06	4	4
397d6a9e2f9c	EA-06	5	4
3aea336ea350	DN-02	1	8
3aea336ea350	DN-02	2	4
3aea336ea350	DN-02	3	3
3aea336ea350	DN-02	4	4
3aea336ea350	DN-02	5	4
3b4761800fa8	HS-02	1	4
3b4761800fa8	HS-02	2	4
3b4761800fa8	HS-02	3	4
3b4761800fa8	HS-02	4	4
3b4761800fa8	HS-02	5	4
3be9d2a391a3	SW-01	1	5
3be9d2a391a3	SW-01	2	4
3be9d2a391a3	SW-01	3	3
3be9d2a391a3	SW-01	4	4
3be9d2a391a3	SW-01	5	4
46ac751ffa86	GP-03	1	4
46ac751ffa86	GP-03	2	4
46ac751ffa86	GP-03	3	4
46ac751ffa86	GP-03	4	4
46ac751ffa86	GP-03	5	6
4a57d07ce53f	MC-05	1	4
4a57d07ce53f	MC-05	2	3
4a57d07ce53f	MC-05	3	3
4a57d07ce53f	MC-05	4	3
4a57d07ce53f	MC-05	5	4
4a695963058c	PS-04	1	4
4a695963058c	PS-04	2	4
4a695963058c	PS-04	3	3
4a695963058c	PS-04	4	4
4a695963058c	PS-04	5	4
4c261d7d8a9d	IM-01	1	4
4c261d7d8a9d	IM-01	2	4
4c261d7d8a9d	IM-01	3	4
4c261d7d8a9d	IM-01	4	3
4c261d7d8a9d	IM-01	5	4
4d111b607425	CS-06	1	4
4d111b607425	CS-06	2	3
4d111b607425	CS-06	3	3
4d111b607425	CS-06	4	4
4d111b607425	CS-06	5	4
4fb4e2a1db10	PY-03	1	4
4fb4e2a1db10	PY-03	2	4
4fb4e2a1db10	PY-03	3	4
4fb4e2a1db10	PY-03	4	4
4fb4e2a1db10	PY-03	5	4
4ff4f55632cd	SZ-01	1	4
4ff4f55632cd	SZ-01	2	4
4ff4f55632cd	SZ-01	3	3
4ff4f55632cd	SZ-01	4	4
4ff4f55632cd	SZ-01	5	4
50cbbb39273a	CT-02	1	4
50cbbb39273a	CT-02	3	6
50cbbb39273a	CT-02	4	3
50cbbb39273a	CT-02	5	4
52c3e23c7f6f	DM-01	1	4
52c3e23c7f6f	DM-01	2	4
52c3e23c7f6f	DM-01	3	4
52c3e23c7f6f	DM-01	4	4
52c3e23c7f6f	DM-01	5	4
5342b029447f	HS-03	2	4
5342b029447f	HS-03	3	3
5342b029447f	HS-03	4	4
5342b029447f	HS-03	5	4
53e7eaf2f310	AG-03	1	4
53e7eaf2f310	AG-03	2	4
53e7eaf2f310	AG-03	3	4
53e7eaf2f310	AG-03	4	4
53e7eaf2f310	AG-03	5	3
54ff80cca526	MC-03	1	4
54ff80cca526	MC-03	2	4
54ff80cca526	MC-03	3	4
54ff80cca526	MC-03	4	4
54ff80cca526	MC-03	5	4
5608d869602a	SG-02	1	4
5608d869602a	SG-02	2	4
5608d869602a	SG-02	3	4
5608d869602a	SG-02	4	4
5608d869602a	SG-02	5	3
5840d84b0cf4	EA-07	1	4
5840d84b0cf4	EA-07	2	4
5840d84b0cf4	EA-07	3	4
5840d84b0cf4	EA-07	4	4
5840d84b0cf4	EA-07	5	4
5d8c446fbd48	DV-01	1	4
5d8c446fbd48	DV-01	2	4
5d8c446fbd48	DV-01	3	4
5d8c446fbd48	DV-01	4	4
5d8c446fbd48	DV-01	5	4
619ca944fad1	MC-04	1	4
619ca944fad1	MC-04	2	4
619ca944fad1	MC-04	3	4
619ca944fad1	MC-04	4	4
619ca944fad1	MC-04	5	4
65d03a082a80	CT-01	1	4
65d03a082a80	CT-01	2	4
65d03a082a80	CT-01	3	4
65d03a082a80	CT-01	4	4
65d03a082a80	CT-01	5	3
68f128a06408	MC-02	1	6
68f128a06408	MC-02	2	4
68f128a06408	MC-02	3	4
68f128a06408	MC-02	4	4
68f128a06408	MC-02	5	4
6a023caa7072	MC-06	1	4
6a023caa7072	MC-06	2	4
6a023caa7072	MC-06	3	3
6a023caa7072	MC-06	4	3
6a023caa7072	MC-06	5	3
6ac81ac11bc7	HS-01	1	4
6ac81ac11bc7	HS-01	2	4
6ac81ac11bc7	HS-01	3	4
6ac81ac11bc7	HS-01	4	8
6ac81ac11bc7	HS-01	5	4
730ad295b2ef	CC-01	1	8
730ad295b2ef	CC-01	2	4
730ad295b2ef	CC-01	3	4
730ad295b2ef	CC-01	4	4
730ad295b2ef	CC-01	5	4
748a71ade98f	EM-02	1	4
748a71ade98f	EM-02	2	4
748a71ade98f	EM-02	3	4
748a71ade98f	EM-02	4	4
748a71ade98f	EM-02	5	4
76ba3b0328d9	SG-01	1	4
76ba3b0328d9	SG-01	2	4
76ba3b0328d9	SG-01	3	4
76ba3b0328d9	SG-01	4	3
76ba3b0328d9	SG-01	5	4
7777a4f1f9b9	CS-03	1	4
7777a4f1f9b9	CS-03	2	4
7777a4f1f9b9	CS-03	3	4
7777a4f1f9b9	CS-03	4	4
7777a4f1f9b9	CS-03	5	4
79d687d59a46	HF-02	1	6
79d687d59a46	HF-02	2	4
79d687d59a46	HF-02	3	4
79d687d59a46	HF-02	4	4
79d687d59a46	HF-02	5	4
7c28b7bf194e	PS-02	1	4
7c28b7bf194e	PS-02	2	4
7c28b7bf194e	PS-02	3	4
7c28b7bf194e	PS-02	4	4
7c28b7bf194e	PS-02	5	4
80bba4688a70	IM-04	1	8
80bba4688a70	IM-04	2	4
80bba4688a70	IM-04	3	4
80bba4688a70	IM-04	4	6
80bba4688a70	IM-04	5	4
8326a4ef3470	AQ-02	1	3
8326a4ef3470	AQ-02	2	4
8326a4ef3470	AQ-02	3	4
8326a4ef3470	AQ-02	4	4
8326a4ef3470	AQ-02	5	4
876c43049873	DI-01	1	4
876c43049873	DI-01	2	4
876c43049873	DI-01	3	4
876c43049873	DI-01	4	4
876c43049873	DI-01	5	4
893be31b2fcf	MC-07	1	4
893be31b2fcf	MC-07	2	4
893be31b2fcf	MC-07	3	4
893be31b2fcf	MC-07	4	8
893be31b2fcf	MC-07	5	4
8ab87b218ba4	AV-02	1	4
8ab87b218ba4	AV-02	2	4
8ab87b218ba4	AV-02	3	4
8ab87b218ba4	AV-02	4	4
8ab87b218ba4	AV-02	5	6
8bc2f454278a	CS-05	1	4
8bc2f454278a	CS-05	2	5
8bc2f454278a	CS-05	3	4
8bc2f454278a	CS-05	4	4
8bc2f454278a	CS-05	5	4
8e57e59ce050	PS-03	1	6
8e57e59ce050	PS-03	2	4
8e57e59ce050	PS-03	3	4
8e57e59ce050	PS-03	4	4
8e57e59ce050	PS-03	5	4
9115f6966521	CS-02	1	4
9115f6966521	CS-02	2	3
9115f6966521	CS-02	3	4
9115f6966521	CS-02	4	4
9115f6966521	CS-02	5	4
9bb823e84608	EY-02	1	4
9bb823e84608	EY-02	2	4
9bb823e84608	EY-02	3	4
9bb823e84608	EY-02	4	4
9bb823e84608	EY-02	5	4
9c51600a71b7	FS-01	1	4
9c51600a71b7	FS-01	2	3
9c51600a71b7	FS-01	3	3
9c51600a71b7	FS-01	4	4
9c51600a71b7	FS-01	5	4
a20a5bcbcd22	HF-01	1	4
a20a5bcbcd22	HF-01	2	4
a20a5bcbcd22	HF-01	3	4
a20a5bcbcd22	HF-01	4	4
a20a5bcbcd22	HF-01	5	6
a2c150c7771b	MC-01	1	4
a2c150c7771b	MC-01	2	3
a2c150c7771b	MC-01	3	4
a2c150c7771b	MC-01	4	4
a2c150c7771b	MC-01	5	3
a32c72029616	HF-03	1	4
a32c72029616	HF-03	2	4
a32c72029616	HF-03	3	4
a32c72029616	HF-03	4	6
a32c72029616	HF-03	5	4
ab2772f6c4c0	DI-04	1	3
ab2772f6c4c0	DI-04	2	8
ab2772f6c4c0	DI-04	3	4
ab2772f6c4c0	DI-04	4	4
ab2772f6c4c0	DI-04	5	4
ad6307e437c9	PS-01	1	4
ad6307e437c9	PS-01	2	4
ad6307e437c9	PS-01	3	4
ad6307e437c9	PS-01	4	8
ad6307e437c9	PS-01	5	4
b2652b2a5279	PY-02	1	4
b2652b2a5279	PY-02	2	4
b2652b2a5279	PY-02	3	4
b2652b2a5279	PY-02	4	4
b2652b2a5279	PY-02	5	4
b2caf0dbb0b8	DV-03	1	4
b2caf0dbb0b8	DV-03	2	4
b2caf0dbb0b8	DV-03	3	4
b2caf0dbb0b8	DV-03	4	4
b2caf0dbb0b8	DV-03	5	4
b4e7a0fb354e	CD-01	1	4
b4e7a0fb354e	CD-01	2	4
b4e7a0fb354e	CD-01	3	4
b4e7a0fb354e	CD-01	4	4
b54a6acb5f8c	IM-02	1	6
b54a6acb5f8c	IM-02	2	3
b54a6acb5f8c	IM-02	3	4
b54a6acb5f8c	IM-02	4	4
b54a6acb5f8c	IM-02	5	4
badf4c9b54d8	RD-01	1	4
badf4c9b54d8	RD-01	2	3
badf4c9b54d8	RD-01	3	4
badf4c9b54d8	RD-01	4	4
badf4c9b54d8	RD-01	5	4
be676678e149	DI-03	1	4
be676678e149	DI-03	2	4
be676678e149	DI-03	3	3
be676678e149	DI-03	4	4
be676678e149	DI-03	5	4
c06315a35d11	SW-02	1	4
c06315a35d11	SW-02	2	4
c06315a35d11	SW-02	3	4
c06315a35d11	SW-02	4	4
c06315a35d11	SW-02	5	4
c0b8203cb7ed	HF-04	1	4
c0b8203cb7ed	HF-04	2	4
c0b8203cb7ed	HF-04	3	3
c0b8203cb7ed	HF-04	4	4
c0b8203cb7ed	HF-04	5	4
c0fcfa83a994	AG-01	1	8
c0fcfa83a994	AG-01	2	4
c0fcfa83a994	AG-01	3	4
c0fcfa83a994	AG-01	4	3
c0fcfa83a994	AG-01	5	4
c3483ba5b248	DI-05	1	4
c3483ba5b248	DI-05	2	4
c3483ba5b248	DI-05	3	4
c3483ba5b248	DI-05	4	4
c3483ba5b248	DI-05	5	4
c6cf2f9bd713	EL-01	1	8
c6cf2f9bd713	EL-01	2	4
c6cf2f9bd713	EL-01	3	4
c6cf2f9bd713	EL-01	4	6
c6cf2f9bd713	EL-01	5	4
c9ef80b596f6	AV-03	1	6
c9ef80b596f6	AV-03	2	6
c9ef80b596f6	AV-03	3	4
c9ef80b596f6	AV-03	4	4
c9ef80b596f6	AV-03	5	3
d6fa6e3a7feb	KD-01	1	4
d6fa6e3a7feb	KD-01	2	3
d6fa6e3a7feb	KD-01	3	4
d6fa6e3a7feb	KD-01	4	4
d6fa6e3a7feb	KD-01	5	4
d9c5d67dc7dd	EA-02	1	8
d9c5d67dc7dd	EA-02	2	8
d9c5d67dc7dd	EA-02	3	4
d9c5d67dc7dd	EA-02	4	8
d9c5d67dc7dd	EA-02	5	3
dad344379415	DI-06	1	4
dad344379415	DI-06	2	4
dad344379415	DI-06	3	4
dad344379415	DI-06	4	4
dad344379415	DI-06	5	4
dbca68c11c84	GP-06	1	4
dbca68c11c84	GP-06	2	4
dbca68c11c84	GP-06	3	4
dbca68c11c84	GP-06	4	4
dbca68c11c84	GP-06	5	8
dd1b7c2b617a	DI-07	1	4
dd1b7c2b617a	DI-07	2	4
dd1b7c2b617a	DI-07	3	4
dd1b7c2b617a	DI-07	4	4
dd1b7c2b617a	DI-07	5	4
e21a2344c0af	GP-01	1	4
e21a2344c0af	GP-01	2	6
e21a2344c0af	GP-01	3	4
e21a2344c0af	GP-01	4	4
e21a2344c0af	GP-01	5	6
e5d4f093c774	CS-01	1	4
e5d4f093c774	CS-01	2	4
e5d4f093c774	CS-01	3	4
e5d4f093c774	CS-01	4	4
e5d4f093c774	CS-01	5	4
e715773ce0f7	IF-02	1	4
e715773ce0f7	IF-02	2	4
e715773ce0f7	IF-02	3	4
e715773ce0f7	IF-02	4	4
e715773ce0f7	IF-02	5	4
e970639b884b	EM-01	1	4
e970639b884b	EM-01	2	4
e970639b884b	EM-01	3	3
e970639b884b	EM-01	4	3
e970639b884b	EM-01	5	4
ea7b153218a7	CS-04	1	8
ea7b153218a7	CS-04	2	4
ea7b153218a7	CS-04	3	3
ea7b153218a7	CS-04	4	4
ea7b153218a7	CS-04	5	4
ec80cf6c671b	PS-05	1	4
ec80cf6c671b	PS-05	2	4
ec80cf6c671b	PS-05	3	8
ec80cf6c671b	PS-05	4	3
ec80cf6c671b	PS-05	5	4
eda7d66a6835	CH-04	1	4
eda7d66a6835	CH-04	2	4
eda7d66a6835	CH-04	3	4
eda7d66a6835	CH-04	4	4
eda7d66a6835	CH-04	5	4
eff4cbaafdfc	GP-02	1	3
eff4cbaafdfc	GP-02	2	8
eff4cbaafdfc	GP-02	3	4
eff4cbaafdfc	GP-02	4	4
eff4cbaafdfc	GP-02	5	4
f0527b5c1ef6	AV-01	1	4
f0527b5c1ef6	AV-01	2	4
f0527b5c1ef6	AV-01	3	8
f0527b5c1ef6	AV-01	4	4
f0527b5c1ef6	AV-01	5	4
f1fa11a68141	FP-01	1	4
f1fa11a68141	FP-01	2	4
f1fa11a68141	FP-01	3	4
f1fa11a68141	FP-01	4	4
f1fa11a68141	FP-01	5	4
f22004db9a19	MD-01	1	4
f22004db9a19	MD-01	2	4
f22004db9a19	MD-01	3	4
f22004db9a19	MD-01	4	4
f22004db9a19	MD-01	5	3
f36579d3ce52	PY-01	2	4
f36579d3ce52	PY-01	3	4
f36579d3ce52	PY-01	4	4
f36579d3ce52	PY-01	5	4
f570f88f4fbd	KD-02	1	4
f570f88f4fbd	KD-02	2	4
f570f88f4fbd	KD-02	3	4
f570f88f4fbd	KD-02	4	4
f570f88f4fbd	KD-02	5	3
f660f42085b8	TS-02	1	4
f660f42085b8	TS-02	2	4
f660f42085b8	TS-02	3	3
f660f42085b8	TS-02	4	8
f660f42085b8	TS-02	5	4
f8884fdac576	ES-01	1	4
f8884fdac576	ES-01	2	4
f8884fdac576	ES-01	3	3
f8884fdac576	ES-01	4	4
f8884fdac576	ES-01	5	4
fa13ef90df78	HS-04	1	4
fa13ef90df78	HS-04	2	4
fa13ef90df78	HS-04	3	4
fa13ef90df78	HS-04	4	4
fa13ef90df78	HS-04	5	4
fe7085c83e9d	SE-01	1	4
fe7085c83e9d	SE-01	2	4
fe7085c83e9d	SE-01	3	4
fe7085c83e9d	SE-01	4	4
fe7085c83e9d	SE-01	5	4
